System Size (W),Roofspace (m2),ILR,Efficiency,System Cost,$/m2
7000,80,1.1,10%,2.22,222.47
7000,72,1.1,11%,2.18,240.09
7000,66,1.1,12%,2.17,260.25
7000,61,1.1,13%,2.16,280.42
7000,57,1.1,14%,2.15,300.58
7000,53,1.1,15%,2.11,316.93
7000,50,1.1,16%,2.11,336.84
7000,47,1.1,17%,2.1,356.75
7000,44,1.1,18%,2.09,376.66
7000,42,1.1,19%,2.09,396.57
7000,40,1.1,20%,2.08,416.48
7000,38,1.1,21%,2.08,436.39
7000,36,1.1,22%,2.05,450.7
7000,35,1.1,23%,2.05,470.36
7000,33,1.1,24%,2.04,490.02
7000,32,1.1,25%,2.04,509.67
7000,31,1.1,26%,2.04,529.33
7000,29,1.1,27%,2.03,548.98
7000,28,1.1,28%,2.03,568.64
7000,27,1.1,29%,2.03,588.3
7000,27,1.1,30%,2.03,607.95
7000,26,1.1,31%,2.02,627.61
7000,25,1.1,32%,2.02,647.26
7000,24,1.1,33%,2.02,666.92
7000,23,1.1,34%,2.02,686.58
7000,23,1.1,35%,2.02,706.23
7000,22,1.1,36%,2.02,725.89
7000,21,1.1,37%,2.01,745.54
7000,21,1.1,38%,2.01,765.2
7000,20,1.1,39%,2.01,784.86
7000,20,1.1,40%,2.01,804.51
7000,80,1.3,10%,2.16,215.61
7000,72,1.3,11%,2.11,232.54
7000,66,1.3,12%,2.1,252.02
7000,61,1.3,13%,2.09,271.5
7000,57,1.3,14%,2.08,290.98
7000,53,1.3,15%,2.04,306.64
7000,50,1.3,16%,2.04,325.86
7000,47,1.3,17%,2.03,345.09
7000,44,1.3,18%,2.02,364.31
7000,42,1.3,19%,2.02,383.54
7000,40,1.3,20%,2.01,402.76
7000,38,1.3,21%,2.01,421.99
7000,36,1.3,22%,1.98,435.61
7000,35,1.3,23%,1.98,454.58
7000,33,1.3,24%,1.97,473.55
7000,32,1.3,25%,1.97,492.52
7000,31,1.3,26%,1.97,511.49
7000,29,1.3,27%,1.96,530.46
7000,28,1.3,28%,1.96,549.43
7000,27,1.3,29%,1.96,568.4
7000,27,1.3,30%,1.96,587.37
7000,26,1.3,31%,1.96,606.34
7000,25,1.3,32%,1.95,625.31
7000,24,1.3,33%,1.95,644.28
7000,23,1.3,34%,1.95,663.25
7000,23,1.3,35%,1.95,682.22
7000,22,1.3,36%,1.95,701.19
7000,21,1.3,37%,1.95,720.16
7000,21,1.3,38%,1.95,739.13
7000,20,1.3,39%,1.94,758.1
7000,20,1.3,40%,1.94,777.07
7000,78,1.4,10%,2.13,217.01
7000,71,1.4,11%,2.08,235.03
7000,65,1.4,12%,2.07,253.6
7000,59,1.4,13%,2.06,275.64
7000,56,1.4,14%,2.02,289.14
7000,52,1.4,15%,2.02,308.47
7000,48,1.4,16%,2.01,330.78
7000,46,1.4,17%,2,343.27
7000,43,1.4,18%,1.99,371.52
7000,41,1.4,19%,1.99,387.56
7000,39,1.4,20%,1.99,405.14
7000,37,1.4,21%,1.96,419.01
7000,35,1.4,22%,1.95,440.09
7000,33,1.4,23%,1.95,463.51
7000,32,1.4,24%,1.94,489.69
7000,32,1.4,25%,1.94,489.69
7000,30,1.4,26%,1.94,519.14
7000,28,1.4,27%,1.93,552.52
7000,28,1.4,28%,1.93,552.52
7000,26,1.4,29%,1.93,590.66
7000,26,1.4,30%,1.93,590.66
7000,24,1.4,31%,1.93,634.68
7000,24,1.4,32%,1.93,634.68
7000,22,1.4,33%,1.92,686.03
7000,22,1.4,34%,1.92,686.03
7000,22,1.4,35%,1.92,686.03
7000,20,1.4,36%,1.92,746.71
7000,20,1.4,37%,1.92,746.71
7000,20,1.4,38%,1.92,746.71
7000,19,1.4,39%,1.89,808.62
7000,19,1.4,40%,1.89,808.62